Month,Day,Facility,Storage_Type,Total_Capacity_Units,Used_Units,Utilization_Pct
109,1,SYSTEM_TOTAL,Pallet,14407162,211486.47619047615,1.4679259953520072
109,1,SYSTEM_TOTAL,Racking,10907744,56635.428571428565,0.5192222018726198
109,1,SYSTEM_TOTAL,Bins,251572320,106598.76190476191,0.04237300904358711
109,1,SYSTEM_TOTAL,Hazmat,9646656,21832.880952380954,0.22632589938296707
109,1,Columbus,Pallet,7259560,211486.47619047615,2.913213420516893
109,1,Columbus,Racking,4243200,56635.428571428565,1.3347338935574227
109,1,Columbus,Bins,233164800,106598.76190476191,0.04571820528002593
109,1,Columbus,Hazmat,6918400,21832.880952380954,0.31557702579181535
109,1,Sacramento,Pallet,3564450,211486.47619047615,5.933214835121159
109,1,Sacramento,Racking,3557216,56635.428571428565,1.592127904839868
109,1,Sacramento,Bins,7776000,106598.76190476191,1.3708688516558887
109,1,Sacramento,Hazmat,712896,21832.880952380954,3.062561853675845
109,1,Austin,Pallet,3583152,211486.47619047615,5.902246853900593
109,1,Austin,Racking,3107328,56635.428571428565,1.8226408210342957
109,1,Austin,Bins,10631520,106598.76190476191,1.0026671812192605
109,1,Austin,Hazmat,2015360,21832.880952380954,1.0833241183898141
109,2,SYSTEM_TOTAL,Pallet,14407162,211486.47619047615,1.4679259953520072
109,2,SYSTEM_TOTAL,Racking,10907744,56635.428571428565,0.5192222018726198
109,2,SYSTEM_TOTAL,Bins,251572320,106598.76190476191,0.04237300904358711
109,2,SYSTEM_TOTAL,Hazmat,9646656,21832.880952380954,0.22632589938296707
109,2,Columbus,Pallet,7259560,211486.47619047615,2.913213420516893
109,2,Columbus,Racking,4243200,56635.428571428565,1.3347338935574227
109,2,Columbus,Bins,233164800,106598.76190476191,0.04571820528002593
109,2,Columbus,Hazmat,6918400,21832.880952380954,0.31557702579181535
109,2,Sacramento,Pallet,3564450,211486.47619047615,5.933214835121159
109,2,Sacramento,Racking,3557216,56635.428571428565,1.592127904839868
109,2,Sacramento,Bins,7776000,106598.76190476191,1.3708688516558887
109,2,Sacramento,Hazmat,712896,21832.880952380954,3.062561853675845
109,2,Austin,Pallet,3583152,211486.47619047615,5.902246853900593
109,2,Austin,Racking,3107328,56635.428571428565,1.8226408210342957
109,2,Austin,Bins,10631520,106598.76190476191,1.0026671812192605
109,2,Austin,Hazmat,2015360,21832.880952380954,1.0833241183898141
109,3,SYSTEM_TOTAL,Pallet,14407162,211486.47619047615,1.4679259953520072
109,3,SYSTEM_TOTAL,Racking,10907744,56635.428571428565,0.5192222018726198
109,3,SYSTEM_TOTAL,Bins,251572320,106598.76190476191,0.04237300904358711
109,3,SYSTEM_TOTAL,Hazmat,9646656,21832.880952380954,0.22632589938296707
109,3,Columbus,Pallet,7259560,211486.47619047615,2.913213420516893
109,3,Columbus,Racking,4243200,56635.428571428565,1.3347338935574227
109,3,Columbus,Bins,233164800,106598.76190476191,0.04571820528002593
109,3,Columbus,Hazmat,6918400,21832.880952380954,0.31557702579181535
109,3,Sacramento,Pallet,3564450,211486.47619047615,5.933214835121159
109,3,Sacramento,Racking,3557216,56635.428571428565,1.592127904839868
109,3,Sacramento,Bins,7776000,106598.76190476191,1.3708688516558887
109,3,Sacramento,Hazmat,712896,21832.880952380954,3.062561853675845
109,3,Austin,Pallet,3583152,211486.47619047615,5.902246853900593
109,3,Austin,Racking,3107328,56635.428571428565,1.8226408210342957
109,3,Austin,Bins,10631520,106598.76190476191,1.0026671812192605
109,3,Austin,Hazmat,2015360,21832.880952380954,1.0833241183898141
109,4,SYSTEM_TOTAL,Pallet,14407162,211486.47619047615,1.4679259953520072
109,4,SYSTEM_TOTAL,Racking,10907744,56635.428571428565,0.5192222018726198
109,4,SYSTEM_TOTAL,Bins,251572320,106598.76190476191,0.04237300904358711
109,4,SYSTEM_TOTAL,Hazmat,9646656,21832.880952380954,0.22632589938296707
109,4,Columbus,Pallet,7259560,211486.47619047615,2.913213420516893
109,4,Columbus,Racking,4243200,56635.428571428565,1.3347338935574227
109,4,Columbus,Bins,233164800,106598.76190476191,0.04571820528002593
109,4,Columbus,Hazmat,6918400,21832.880952380954,0.31557702579181535
109,4,Sacramento,Pallet,3564450,211486.47619047615,5.933214835121159
